text	postUrl	commentTimeStamp	postCaption	postTimeStamp	model	Media type	isComment	Source
:red_heart:	https://www.instagram.com/p/Ct1EteaIVUd	2023-08-27T07:35:30.000Z	A tiny machine for mighty practicality! Order yours now to benefit from the offer on the Lavazza Tiny machine for 99$, with a free box of capsules and free delivery. #lavazzalove #coffeebreak #morningfuel #espresso #mug #coffee #beans #capsule #machine #lavazza #lavazzacoffee #lavazzacoffee #lavazzaamodomio #lavazzaespress #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian #technology	23/06/2023 12:19:07	tinyeco	Instagram	True	instagram.com
I love the color	https://www.instagram.com/reel/CxtPqQLr5D9	2023-10-01T19:03:35.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
:smiling_face_with_heart-eyes::raising_hands:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-29T09:58:03.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
I like the color. Different from usual	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T14:11:20.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Color :TOP_arrow:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T12:09:52.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Beautiful :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: the coffee will be delicious :face_savoring_food:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T06:24:27.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
You eat me :winking_face_with_tongue:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T05:03:53.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Very cute :smiling_face_with_heart-eyes: coordinated with the furniture :face_with_tears_of_joy::face_with_tears_of_joy: now you can't change your mind :face_with_tears_of_joy:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-27T20:24:41.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Top Faith!! :red_heart:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-27T19:48:52.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
so interesting ! keep going <3	https://www.instagram.com/p/C4eAmHaNrqj	2024-03-19T16:09:31.000Z	Troughback: Art & Coffee, Capsule & Design. The coffee machine has revealed its pop soul with the collaboration between Lavazza and Toiletpaper, an editorial project by Maurizio Cattelan and photographer Pierpaolo Ferrari. ‘Lavazza Tiny dreamed by Toiletpaper - Lipsticks Edition’, at Fuorisalone 2018, brought a touch of art and irony to the temporary bar, with the powerful ToiletPaper graphics contrasting with a background with simple geometry in the style of graph paper. #lavazza #lavazzatiny #sopopsotiny #macchinacapsule #milanodesignweek #lavazzaamodomio #beverfood #milanodesignweek #design #ocs #coffeemachine #macchinacapsule #ocscoffee #lavazzadesign #capsulecaffe #beverfood #fuorisalone #lavazzatinydreamedbytoiletpaper #toiletpaper #toiletpapermagazine #mauriziocattelan #pierpaoloferrari #lipstickedition	13/03/2024 22:05:58	tinyeco	Instagram	True	instagram.com
