text	postUrl	commentTimeStamp	postCaption	postTimeStamp	model	Media type	isComment	Source
❤️	https://www.instagram.com/p/Ct1EteaIVUd	2023-08-27T07:35:30.000Z	"A tiny machine for mighty practicality! 

Order yours now to benefit from the offer on the Lavazza Tiny machine for 99$, with a free box of capsules and free delivery. 

#lavazzalove #coffeebreak #morningfuel #espresso #mug
#coffee #beans #capsule #machine #lavazza #lavazzacoffee
#lavazzacoffee #lavazzaamodomio #lavazzaespress
#coffeeholic #coffeelover #lebanon #lebanese #beirut #italy
#italian #technology"	23/06/2023 12:19:07	tinyeco	Instagram	True	instagram.com
Adoro il colore	https://www.instagram.com/reel/CxtPqQLr5D9	2023-10-01T19:03:35.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
😍🙌	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-29T09:58:03.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Mi piace il colore . Diverso dal solito	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T14:11:20.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Colore 🔝	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T12:09:52.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Bellissima 😍😍 il caffè sarà buonissimo 😋	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T06:24:27.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Tu come me 😜	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T05:03:53.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Carinissima 😍 in coordinato con l’arredamento 😂😂 adesso non puoi più cambiare idea 😂	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-27T20:24:41.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
Top Fede!! ❤️	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-27T19:48:52.000Z	"Macchina del caffè 

Ecco finalmente la nostra nuova macchinetta del caffè, abbiamo optato per la LAVAZZA A MODO MIO TINY ECO, piccola, compatta e pratica, la prima macchina Lavazza a modo mio fatta con plastica riciclata e questa cosa mi ha attratto tanto..e finalmente anche un po' di colore in casa, ci voleva proprio! 

Scontato dire che il caffè della Lavazza è sempre una garanzia, anche se io non lo bevo 
•
•
•
#macchina #macchinadelcaffè #coffeemachine #cofeemaker #caffe #coffee #espresso #caffetime #coffee #coffeetime #plasticariciclata #lavazza #lavazzacoffee #relaxtime"	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com
so interesting ! keep going <3	https://www.instagram.com/p/C4eAmHaNrqj	2024-03-19T16:09:31.000Z	"Troughback: Arte & Caffe, Capsule &Design. La macchina per il caffè ha rivelato la sua anima pop con la collaborazione tra Lavazza e Toiletpaper, progetto editoriale di Maurizio Cattelan e del fotografo Pierpaolo Ferrari. 
‘Lavazza Tiny dreamed by Toiletpaper - Lipsticks Edition’, al fuorisalone 2018, ha portato un tocco di arte e ironia nel temporary bar, con le potenti grafiche ToiletPaper a contrasto di uno sfondo con geometria semplice stile foglio di carta millimetrata.

#lavazza #lavazzatiny #sopopsotiny #macchinacapsule #milanodesignweek #lavazzaamodomio #beverfood #milanodesignweek #design #ocs #coffeemachine #macchinacapsule #ocscoffee #lavazzadesign #capsulecaffe #beverfood #fuorisalone #lavazzatinydreamedbytoiletpaper #toiletpaper #toiletpapermagazine #mauriziocattelan #pierpaoloferrari #lipstickedition"	13/03/2024 22:05:58	tinyeco	Instagram	True	instagram.com
