text	channel	feedbackRating	reviewDate	model	positiveTopicClass	negativeTopicClass	primaryPositiveAspect	primaryNegativeAspect
good product Easy to use	amazon.it	5.0	2024-08-17	tinyeco	User Experience	NONE	Easy to use	NONE
Nice I bought the previous model and in this one the water tank is very small as is the container under the glass, I bought it in pink but in fact it is not like in the photo, it is a dull grey pink.	mediaworld.it	4.0	2023-02-27	tinyeco	NONE	Design and Materials, Maintenance and Durability	NONE	NONE
I bought it at the beginning of the year, excellent purchase. Nice creamy coffee.	amazon.it	5.0	2023-01-13	tinyeco	Coffee Quality	NONE	Creamy coffee	NONE
Gorgeous! I recommend it to everyone. Everything is fantastic.	amazon.it	5.0	2022-12-27	tinyeco	Design and Materials	NONE	Gorgeous	NONE
Nice design, great coffee I already had a lavazza tiny machine that left me after about three years, since it made great coffee I decided to buy another one with the new design. The only flaw in my opinion is the water collection container that is too small.	mediaworld.it	4.0	2023-03-04	tinyeco	Design and Materials, Coffee Quality	Maintenance and Durability	Great coffee	NONE
Great product I bought this item 3 weeks ago and I am very satisfied, fantastic design, excellent functionality, ready in a few seconds, compatible capsules (I use Borbone). Satisfied.	mediaworld.it	5.0	2023-04-26	tinyeco	Design and Materials, Machine Performance, Capsules and Compatibility, User Experience	NONE	Fantastic design	NONE
Excellent quality/price. Very good product. I recommend buying it. The only flaw is having to remove the capsule after each coffee.	mediaworld.it	4.0	2023-04-16	tinyeco	Price & worth	Capsules and Compatibility	Excellent quality/price	NONE
Compact Lavazza Tiny is compact compared to my first Lavazza a modo mio coffee machine... practical and quick to clean... the color I chose matches the tiles on the counter very well... the coffee as usual perfect and very hot just how I like it... I hope it lasts as long as the previous one... for now everything is going great...	mediaworld.it	5.0	2023-05-16	tinyeco	Design and Materials, Coffee Quality, Machine Performance, Maintenance and Durability	NONE	Perfect and very hot coffee	NONE
excellent :thumbs_up: well made compact simple machine :call_me_hand: recommend	amazon.it	5.0	2023-04-20	tinyeco	Design and Materials, Machine Performance	NONE	Well made and compact	NONE
Good price Arrived well ahead of the date that was indicated. Well packaged, working product. Compared to the previous model (tiny) it seems larger but with a slightly smaller water tray. For the rest we are satisfied :grinning_face:	amazon.it	5.0	2023-04-06	tinyeco	Services and Logistics, Price & worth, Machine Performance	Maintenance and Durability	Good price	NONE
Excellent Excellent recommended machine, the only flaw is the water container which is too small otherwise excellent	amazon.it	5.0	2023-04-07	tinyeco	Machine Performance, Coffee Quality	Maintenance and Durability	Excellent machine	NONE
Lavazza tiny For the moment it works well and makes a good coffee with original pods.... I hope it lasts longer than the previous one.... always carried out maintenance of cleaning limescale but it lasted only a year then sent back under warranty, replaced with another and it also lasted a year	amazon.it	5.0	2023-06-01	tinyeco	Coffee Quality, Machine Performance	Machine Performance, Maintenance and Durability	Good coffee	NONE
GOOD EVENING, THE MACHINE ARRIVED WITHOUT ANY RECEIPT OR INVOICE, COULD YOU AT LEAST SEND ME SOMETHING FOR A POSSIBLE WARRANTY??? THANK YOU...	amazon.it	2.0	2023-05-24	tinyeco	NONE	Services and Logistics	NONE	NONE
"Not perfect but good. ^_^ I knew this machine because years ago I was given a very similar model. This version seems to have solved some defects found in the old model (eg: Less vibration and noise) and I can consider myself satisfied with the purchase. The only ""negative note"" (if I may say so) could be the cost that when it is not on sale is really out of what for me is considered a normal ""Quality/Price"" ratio which in this case is strongly unbalanced towards the top. Luckily in this shop I found an excellent offer and the shipping/delivery service was equally good."	mediaworld.it	4.0	2023-06-25	tinyeco	Machine Performance, Services and Logistics	Price & worth	Less vibration and noise	NONE
Beautiful! Very nice and good coffee	amazon.it	5.0	2023-04-26	tinyeco	Design and Materials, Coffee Quality	NONE	Good coffee	NONE
Nice machine The machine is nice but the tank is small and the base is low. If it drips it comes out after three coffees because it doesn't have enough capacity.	amazon.it	4.0	2023-06-23	tinyeco	NONE	Maintenance and Durability, Design and Materials	NONE	NONE
Excellent Excellent espresso machine. Highly recommended. Fast and accurate shipping.	amazon.it	5.0	2023-06-03	tinyeco	Coffee Quality, Services and Logistics	NONE	Excellent espresso machine	NONE
Fabulous Beautiful aesthetically and practical, more compact than the others	amazon.it	5.0	2023-05-25	tinyeco	Design and Materials	NONE	Beautiful	NONE
compact and fast machine I have had it for 15 days and I must say that the coffee is good. There are many types of capsules to please any person.	mediaworld.it	5.0	2023-07-02	tinyeco	Machine Performance, Coffee Quality, Capsules and Compatibility	NONE	Good coffee	NONE
Tiny Coffee Machine Excellent machine, very polite courier. Thanks	mediaworld.it	5.0	2023-07-10	tinyeco	Services and Logistics	NONE	Excellent machine	NONE
Recommended Fast shipping and product at a good price. Simple and nice aesthetics	mediaworld.it	5.0	2023-07-27	tinyeco	Services and Logistics, Price & worth, Design and Materials	NONE	Good price	NONE
