text	channel	feedbackRating	reviewDate	positiveTopicClass	negativeTopicClass	model
The noise is horrendous Not fit tor purpose sounds like Concorde taking off.	amazon.co.uk	1.0	2020-03-12			tiny
:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::thumbs_up_medium-light_skin_tone: :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::thumbs_up_medium-light_skin_tone:	amazon.co.uk	5.0	2019-02-08			tiny
5* 5 *****	amazon.co.uk	5.0	2019-10-15			tiny
Does the job well. And for very little money.	amazon.co.uk	5.0	2019-11-04			tiny
Mediocre. Unfortunately, only small espresso cups fit under the spout. I ordered them for the office.	amazon.de	3.0	2019-05-04			tiny
Disappointing. Disappointing to the point of making it back to the sender.	amazon.it	2.0	2019-05-30			tiny
Good. Comfortable.	amazon.it	4.0	2019-09-28			tiny
Not bad. This is the second one I retire.	amazon.it	4.0	2020-06-14			tiny
Tiny. I had previously evaluated the various coffee machine options and was satisfied with the purchase.	amazon.it	5.0	2018-12-31			tiny
Great. Little to say, if associated with a good coffee even better.	amazon.it	5.0	2020-03-19			tiny
You have to be careful about the price. The car works great the only thing that I was disappointed is the price the same machines the priced view 49.90.	amazon.it	5.0	2019-11-12			tiny
10 10	amazon.it	5.0	2020-02-28			tiny
Pretty one. Nothing to say. Simply perfect.	amazon.it	5.0	2020-01-26			tiny
Poor coffee. Coffee stands for hot water.	amazon.it	2.0	2020-04-07			tiny
It is beautiful and red and very easy to use. The coffee machine.	amazon.it	5.0	2019-02-03			tiny
how to use the semplicity	amazon.it	4.0	2019-03-22			tiny
ok ok	amazon.it	5.0	2019-08-24			tiny
Great. Will no longer be missing in my vucuna.	amazon.it	5.0	2019-08-03			tiny
Lavazza. Compared to the lavazza that I had very old before, here I have to remove the capsule every time but for the use I make of it it's okay, the rest for now I can't say.	amazon.it	3.0	2020-02-01			tiny
Very bad product. Duration. 4 months.	amazon.it	1.0	2019-04-30			tiny
ok ok	amazon.it	5.0	2019-07-21			tiny
As expected Finally he begins to make a good coffee ... you have to use it in a bit to get the best ... but I think it is normal even the mocha at the beginning does not make a perfect coffee	amazon.it	4.0	2020-04-22			tiny
REQUEST INVOICE. An invoice is expected to: Capo Sportivo by Francesco Caruso. Via giacomo Matteotti 23. TAURIANOVA, RC, 89029. Tax code CRSFNC74P10L063I.	amazon.it	4.0	2020-04-22			tiny
ok ok	amazon.it	5.0	2019-10-26			tiny
Route. Route 2 months after purchase!	amazon.it	1.0	2019-02-10			tiny
good product improvable the cup must be stopped with your hand otherwise it moves and pours the coffee out	amazon.it	4.0	2020-01-16			tiny
Pretty but noisy. Very pretty easy to use and clean only flaw is very noisy!	amazon.it	4.0	2019-09-26			tiny
Convenient system. For a gift.	amazon.it	5.0	2020-01-08			tiny
how to use the semplicity	amazon.it	5.0	2019-09-09			tiny
Lavazza coffee machine in my own way Pod tray does not open properly	amazon.it	4.0	2019-02-07			tiny
Aesthetics and function. I had Nespresso, this one is prettier AND smaller	amazon.it	5.0	2018-11-21			tiny
Great. Content.	amazon.it	3.0	2019-03-07			tiny
Fast, small and efficient. Boiler heating speed.	amazon.it	4.0	2019-06-07			tiny
It does its duty Good speck	amazon.it	4.0	2019-09-12			tiny
Coffee machine. Machine that makes good coffee, has the defect of being a bit noisy.	amazon.it	5.0	2019-05-10			tiny
Excellent and simple. Council combined with Bourbon don Carlo black blend.	amazon.it	5.0	2020-06-15			tiny
Quality price. It is already the second that I take is fine and costs little.	amazon.it	5.0	2020-06-22			tiny
Coffee machine. Very good machine, the only problem is the noise.	amazon.fr	5.0	2019-11-20			tiny
The pod drawer stops, unusable. As with the previous one I had, identical in everything, the drawer blocks with the pod inside and the machine is to be thrown away because it cannot be used.	amazon.it	1.0	2020-08-30			tiny
Perfect design. Easy to use just a little too noisy.	amazon.it	4.0	2020-09-08			tiny
Easy to use. Makes great coffee, even if it struggled a bit at first.	amazon.it	4.0	2020-09-11			tiny
