text	label	topics	positive_topics	negative_topics	sentiment
I love color	1	Design and Materials	Design and Materials		Positive
I like color.Different from usual	1	Design and Materials	Design and Materials		Positive
Color :TOP_arrow:	1	Design and Materials	Design and Materials		Positive
BEAUTIFUL	1	Design and Materials	Design and Materials		Positive
Smiling_face_with_heart-Eyes :: Smiling_face_with_heart-Eyes: Coffee is very good	1	Coffee Quality	Coffee Quality		Positive
You eat me __emoji0__	0				Neutral
Cute :Smiling face with Heart-Eyes: in coordinated with the furniture :face_with_tears_of_joy:__MOJI2__ now you can no longer change your mind __Moji2__	1	Design and Materials	Design and Materials		Positive
Top faith !!:red_heart:	1				Positive
so interesting ! keep going <3	1				Positive
We love coffee :winking_face:	1				Positive
Send me pic on :backhand_index_pointing_right: @europ__capture	0				Neutral
Amazing profile Chek your dm :envelope_with_arrow:	0				Neutral
Top	1				Positive
:clapping_hands:	1				Positive
#espress #coffe #lavazza #lavazzacofee__emoji1__ #lavazzacofee__moji1__ #lavazzadomio #lavazzaespresspresso #cofaffeholic #cofaffeelover #lebanon #Lebanese #beirirut #italy #italiano	0	Brand Awareness			Neutral
Price ?	0	Price & worth		Price & worth	Neutral
:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::face_savoring_food::face_savoring_food::brown_heart::brown_heart::hot_beverage::hot_beverage::white_heart::white_heart::star-struck::star-struck:	1				Positive
@nikkibarts	0				Neutral
:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:	1				Positive
The Glass 100112 alls __ING2 2______ 2__	0				Neutral
The song doesn't match my mood	0				Negative
How do you participate?	0	User Experience		User Experience	Neutral
Ci sono!! :smiling_face_with_heart-eyes:	0				Neutral
But do you pay to do this fanta?	0	Price & worth		Price & worth	Neutral
Info thanks	0				Neutral
@username	0				Neutral
@username @username do we do it?	0				Neutral
@username do we want to do it?	0				Neutral
@username @username Famo	0				Neutral
@username	0				Neutral
A one bid	0				Neutral
Bring custom to the back	0				Neutral
To the garment	0				Neutral
Sorry but how to remove the water tank? I can't	0	Maintenance and Durability		Maintenance and Durability	Negative
Certainly the Nespresso Lattissimo One seems really excellent __E_MOJI0_ I have the sweet taste in the house __emoji1__	0	Coffee Quality, Brand Awareness	Coffee Quality, Brand Awareness		Positive
Good evening cara__emoji1_____Moji1__	0				Neutral
Io sono team Lavazza :smiling_face_with_heart-eyes::red_heart:	1	Brand Awareness	Brand Awareness		Positive
The very tattering from what I read around, it looks better __E_Moji0__	1				Positive
I don't know how to advise you: smiling_face_with_heart-eyes: I still use the mocha	0				Neutral
La lattissima mi ispira tantissimo :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:	1	Brand Awareness	Brand Awareness		Positive
The very late one is spectacular ... there is I, it is excellent trusted, the coffee I use Bourbone Blue mixture and it is excellent.Not to mention the cappuccino __emoji0__ a wonder __emoji1__	1	Coffee Quality, Brand Awareness	Coffee Quality, Brand Awareness		Positive
Nespresso all life.I don't like how the cappuccino comes because it comes out super hot, but there is super machine there	0	Coffee Quality, Machine Performance, Brand Awareness	Machine Performance, Brand Awareness	Coffee Quality	Negative
Nespresso secondo me ̬ top:smiling_face_with_heart-eyes:	0	Brand Awareness	Brand Awareness		Positive
I don't know why I have neither one nor the other!But what a beautiful kitchen and the floor: smiling_face_with_heart-eyes:	0	Design and Materials	Design and Materials		Positive
I have another type of machine but if I had to choose between the two, I would choose the very bed of the Nespresso __EMOJI0_ __MOJI1__	0	Brand Awareness	Brand Awareness		Positive
I can't help you, we don't drink milk and for us it is essential that it simply does the coffee :face_with_tears_of_joy:	0	Machine Performance	Machine Performance		Neutral
I have never tried that of the Nespresso so I would not know how to advise you!But I love your cuisine: smiling_face_with_heart-eyes:	0	Brand Awareness	Brand Awareness		Positive
Honey I have a lavazza, but I would return a thousand times from Nespresso.	0	Brand Awareness	Brand Awareness		Negative
Io ho la Nespresso :smiling_face_with_heart-eyes:	0	Brand Awareness	Brand Awareness		Neutral
Hi does this machine take capsules that make a large coffee or just espresso size?	0	Capsules and Compatibility		Capsules and Compatibility	Neutral
Omg I'm obsessed :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:	1				Positive
:brown_heart::white_heart::brown_heart::white_heart: so smooth, so creamy and a delight to clean, not to mention looks divine! Ticks every box we'd say! X	1	Coffee Quality, Design and Materials, Maintenance and Durability	Coffee Quality, Design and Materials, Maintenance and Durability		Positive
Happy gotcha day sweet Pearl! :two_hearts::smiling_cat_with_heart-eyes::sparkling_heart:	0				Neutral
Send pic @magazine_of_australia	0				Neutral
Wow :smiling_cat_with_heart-eyes: send pic on @cat_world_magazine__	0				Neutral
:yellow_heart::yellow_heart::yellow_heart:	0				Neutral
#coffee #coffeelover #coffeeaddict #coffeemachine #smeg #espressomachine #espresso #caffe #italiancoffee #coffeetime #coffeelovers #coffeegram #coffeelife #coffeelifestyle #coffeeporn #coffeemachineporn #luxury	0	Brand Awareness			Neutral
#coffeelovers #coffeemachines #fathersdaygifts #lavazzaamodomio #lavazzacoffee #lavazzades̩a #smallappliances #capsulecoffee	0	Brand Awareness			Neutral
Send pic :backhand_index_pointing_right:@COFFEE_LOVERS.__	0				Neutral
That Lavazza coffee :hot_beverage: tho :clapping_hands::red_heart::red_heart:	1	Coffee Quality, Brand Awareness	Coffee Quality, Brand Awareness		Positive
Decent coffee can't lie! :hot_beverage:	1	Coffee Quality	Coffee Quality		Positive
Price plz:strawberry:	0	Price & worth		Price & worth	Neutral
Hello:strawberry:	0				Neutral
the price ??	0	Price & worth		Price & worth	Neutral
Try it once you will get in love with it :red_heart:	1				Positive
Okay, try	0				Neutral
price please and how much the capsule intenso	0	Price & worth, Capsules and Compatibility		Price & worth, Capsules and Compatibility	Neutral
the price	0	Price & worth		Price & worth	Neutral
@randal80	0				Neutral
Just Love it :hot_beverage:	1	Coffee Quality	Coffee Quality		Positive
Price plz	0	Price & worth		Price & worth	Neutral
Love this coffee :fire:	1	Coffee Quality	Coffee Quality		Positive
Practical and good coffee, I'm sorry they don't make ecocapsules and over time I noticed bad smell from where water will provide a way for disinfecting the part but in my opinion it is a material that holds humidity	1	Coffee Quality, Environmental Impact, Maintenance and Durability	Coffee Quality	Environmental Impact, Maintenance and Durability	Negative
oh well but the exhaust water where it ends ????	0	Maintenance and Durability		Maintenance and Durability	Neutral
It is crap, has a very small tank, not having a drawer for the drops loses water continuously, after a year it has blocked, never again	1	Machine Performance, Maintenance and Durability, Design and Materials		Machine Performance, Maintenance and Durability, Design and Materials	Negative
Really an excellent coffee machine	1	Machine Performance	Machine Performance		Positive
By now the word eco -sustainable is a mockery.Use capsules.Moka is the only sustainable.And the compostable capsules inside the composter when after 1 year they were basically healthy but dirty with compost were still entire.We make a more beautiful figure not to use inappropriate terms as compostable and eco -sustainable.	1	Environmental Impact, Capsules and Compatibility		Environmental Impact, Capsules and Compatibility	Negative
But isn't Tiny out of production?	0				Neutral
An excellent coffee machine	1	Machine Performance	Machine Performance		Positive
slow talking boring twattt	0				Negative
Wtf was that :face_with_tears_of_joy::face_with_tears_of_joy: that's not a espresso	1	Coffee Quality		Coffee Quality	Negative
If you want to start a coffee over 80 ml, start watching Lord of the Rings, maybe your coffee will be ready before the King returns... More seriously, a modo mio is typically made for the taste of Italian coffee (between 35 and 50 ml volume); There are many machines for brewing larger cups on the market, mainly those with built-in grinders. I have one of each in my kitchen, for totally different coffees...	1	Coffee Quality, Machine Performance	Coffee Quality	Machine Performance	Neutral
A lousy coffee is no longer ai can	1	Coffee Quality		Coffee Quality	Negative
Hello, I am Italian. You have dispensed an enormous amount of coffee. The taste of one of those small pods can be better enjoyed in a much smaller quantity, like a short espresso, which equals 1/3 of a small coffee cup. Approximately 50 milliliters or 50 grams. Greetings from Italy :)	1	Coffee Quality	Coffee Quality		Neutral
who makes better coffee jolie with 10 bar or this tiny with 15 bar ? Im unsure what to get	0	Machine Performance		Machine Performance	Neutral
Just bought this to replace my broken Lavazza Mio. This replacement doesn't have preset amounts like before. That's a bit annoying :crying_face:	1	Machine Performance, User Experience		Machine Performance, User Experience	Negative
Here from the podcast! :grinning_face_with_sweat::smiling_face_with_smiling_eyes:	0				Neutral
Link to the product: __E_Moji0_ Lavazza Tiny Eco https://amzn.to/3smVrcd	0				Neutral
Eco __Moji0__s should also be done	1	Environmental Impact	Environmental Impact		Neutral
An imbavitable coffee.It looks like dirty water and any compatible and original mixture or waffle have the same disgusting flavor.85 euros thrown into the toilet! __ Emoji0__	1	Coffee Quality, Price & worth, Capsules and Compatibility		Coffee Quality, Price & worth, Capsules and Compatibility	Negative
Have you tried the lavazza idola?They tell me it is superior.Is this really the case?	0	Brand Awareness, Machine Performance		Brand Awareness, Machine Performance	Neutral
It would have been more appropriate to use a transparent glass cup, in order to be able to see the amount of cream that is formed.	0	Coffee Quality		Coffee Quality	Neutral
How do you heat the water more for a good very hot coffee,?	0	Coffee Quality		Coffee Quality	Neutral
Differences in the Plus and Plus Evo versions.Thank you	0				Neutral
The coffee machine is excellent, but the problem are 5 exhausted capsules that are hardly contained in the drawer and often the last tends to fit ... I solved the problem by removing the second drawer inside that acts as a drip and finally everything is fine inHow much the space increases .... the little water inside not from any discomfort in disposal .... last advice always original capsules that never give problems and the quality remains superior ...__ Emoji0__	1	Machine Performance, Capsules and Compatibility, Maintenance and Durability	Machine Performance, Capsules and Compatibility	Maintenance and Durability	Positive
Is the coffee delivered hot?	0	Coffee Quality		Coffee Quality	Neutral
Mine when I open the lever after I made coffee, a little smoke comes out .. I don't know if it's normal	1	Machine Performance		Machine Performance	Neutral
When it costs	0	Price & worth		Price & worth	Neutral
The video is ok.Unfortunately I have made it for various problems!The light often flashes quickly even when the container is empty!Compatible capsules insertion is not always ok.Often they don't go to position and the handle does not go down !!Problems also for expulsion, the capsule does not always fall into the container, it must be pushed with the finger!Not recommended !!	1	Machine Performance, Capsules and Compatibility, User Experience		Machine Performance, Capsules and Compatibility, User Experience	Negative
Can you dose long or short coffee?	0	Machine Performance		Machine Performance	Neutral
Taken for a few months, I have a problem that after making coffee loses some water and the plan where it is resting is bathed	1	Machine Performance, Maintenance and Durability		Machine Performance, Maintenance and Durability	Negative
Does other drinks do?Cappuccino, chocolate?	0	Machine Performance		Machine Performance	Neutral
Thank you	0				Neutral
Would you recommend it for a family of 6?I would like to do it as a Christmas present	0				Neutral
How do you block the delivery of the drink?	0	User Experience		User Experience	Neutral
Do you also make drinks? Can compatible capsules be used?	0	Machine Performance, Capsules and Compatibility		Machine Performance, Capsules and Compatibility	Neutral
I wanted to ask you, in my uncle where he goes to get the capsules they told him that to clean him instead of the products he can also use water and vinegar, is it okay?And each Tot of coffee for a few seconds advice to make the water go down to clean it every now and then?(with the lever lowered?) Thanks.	0	Maintenance and Durability		Maintenance and Durability	Neutral
How can I remove the stand by?	0	User Experience		User Experience	Neutral
After two years it is the same as his first cafe, like new, and perfect	1	Machine Performance, Maintenance and Durability	Machine Performance, Maintenance and Durability		Positive
Hi m gave this coffee machine I wanted to know if the light turns off or always remains on thank you very much	0	User Experience		User Experience	Neutral
Thanks for the video.:smiling_face_with_smiling_eyes:	0				Positive
Thank you !!!!(save ..__ Emoji0____Moji1__)	0				Neutral
How do you turn off?	0	User Experience		User Experience	Neutral
Cold coffee	1	Coffee Quality		Coffee Quality	Negative
Too much condensation	1	Machine Performance		Machine Performance	Negative
Thanks for the very clear explanation!They gave it to me for this Christmas, so I will start using it immediately	0				Positive
they last short	0	Maintenance and Durability		Maintenance and Durability	Negative
Thanks to you I'm drinking a coffee I'm a guest from friends I didn't want to wake them up	0				Positive
hello you can tell me how many bars the machine has	0	Machine Performance		Machine Performance	Neutral
If you're going to be on you to speak please speak English	0				Neutral
Sorry I wanted to know in this machine how the cappuccino capsula is used	0	Capsules and Compatibility		Capsules and Compatibility	Neutral
I just bought it, it doesn't seem lasting to me, after a year it is still going?	1	Maintenance and Durability		Maintenance and Durability	Negative
Purchased a couple of days ago !!But I'm not satisfied very much!I use borbone capsules and in truth the coffee is excellent !!It is only a question of the temperature of the latter, !!!Nn is nice hot !!!There is something that maybe I don't know how to use !!Someone can reply	1	Coffee Quality, Capsules and Compatibility	Coffee Quality	Capsules and Compatibility	Negative
Good evening I have had this machine for a year since I have known that water comes out from below why does it depend on?	1	Machine Performance, Maintenance and Durability		Machine Performance, Maintenance and Durability	Negative
Is coffee dense?I am interested in that it is not watered down, also compatible capsules are underwater?	0	Coffee Quality, Capsules and Compatibility		Coffee Quality, Capsules and Compatibility	Neutral
Service	0	Services and Logistics		Services and Logistics	Neutral
Taken last night now I'm doing my first coffee with this machine thanks for the very useful review	1				Positive
But is the light on?Do I have to remove the grip to make it off or turn off afterwards?	0	User Experience		User Experience	Neutral
Hi, compared to the other lavazza coffee machines this, Jolie, has a minor wattage.Have you ever tried other lavazza coffee machines?Do you feel a change in the flavor or temperature of the coffee paid?Thank you	0	Machine Performance, Coffee Quality, Brand Awareness		Machine Performance, Coffee Quality, Brand Awareness	Neutral
The coffee quality is outstanding, definitely comparable to high-end coffee shops :sparkles:	1	Coffee Quality	Coffee Quality		Positive
I'm frustrated with how quickly the water tank needs refilling :disappointed:	1	Machine Performance, Design and Materials		Machine Performance, Design and Materials	Negative
Looking forward to trying this with my new kitchen setup :house:	1	Design and Materials	Design and Materials		Positive
The temperature control is excellent, perfect hot coffee every time :thermometer:	1	Coffee Quality, Machine Performance	Coffee Quality, Machine Performance		Positive
After six months of daily use, still works like new :sparkles: Quality engineering	1	Machine Performance, Maintenance and Durability	Machine Performance, Maintenance and Durability		Positive
Can anyone recommend good coffee recipes? :cooking:	0				Neutral
The eco-friendly features are nice, but capsule waste remains an issue :recycle:	1	Environmental Impact, Capsules and Compatibility	Environmental Impact	Capsules and Compatibility	Negative
Love the sleek design, fits perfectly in my modern kitchen :house_with_garden:	1	Design and Materials	Design and Materials		Positive
Customer service was excellent when I needed help with descaling :speaking_head:	1	Services and Logistics, Maintenance and Durability	Services and Logistics, Maintenance and Durability		Positive
Not worth the price point compared to traditional machines :money_with_wings:	1	Price & worth		Price & worth	Negative
The milk frother makes perfect cappuccino every morning :coffee:	1	Machine Performance, Coffee Quality	Machine Performance, Coffee Quality		Positive
The smart features sync perfectly with my home automation :robot:	1	User Experience	User Experience		Positive
Having issues with capsule compatibility lately :warning:	1	Capsules and Compatibility		Capsules and Compatibility	Negative
Beautiful photos! :camera_with_flash: What filter did you use?	0				Neutral
The maintenance is straightforward, just follow the manual :wrench:	1	Maintenance and Durability, User Experience	Maintenance and Durability, User Experience		Positive
Great creator content as always :clapping_hands:	0				Positive
Been using Lavazza for years, never disappoints :star:	1	Brand Awareness	Brand Awareness		Positive
Anyone know where to buy replacement parts? :tools:	0	Maintenance and Durability, Services and Logistics		Maintenance and Durability, Services and Logistics	Neutral
The brewing noise is so quiet, perfect for early mornings :zzz:	1	Machine Performance	Machine Performance		Positive
Not compatible with my favorite coffee brand :disappointed:	1	Capsules and Compatibility, Brand Awareness		Capsules and Compatibility, Brand Awareness	Negative
Amazing how quickly it heats up and ready to brew :fire:	1	Machine Performance	Machine Performance		Positive
Excellent crema on every cup :coffee:	1	Coffee Quality	Coffee Quality		Positive
Who else is watching in 2024? :eyes:	0				Neutral
The descaling process is much easier than my old machine :sparkles:	1	Maintenance and Durability, User Experience	Maintenance and Durability, User Experience		Positive
Nice setup! :thumbs_up: What camera did you use for this shot?	0				Neutral
Love the energy efficiency features :leaf:	1	Environmental Impact	Environmental Impact		Positive
Keeps breaking down after a few months :angry:	1	Machine Performance, Maintenance and Durability		Machine Performance, Maintenance and Durability	Negative
The capsule drawer could be bigger :thinking:	1	Design and Materials		Design and Materials	Negative
Perfect temperature every time :thermometer:	1	Coffee Quality, Machine Performance	Coffee Quality, Machine Performance		Positive
Thinking of upgrading from my basic model :thinking:	1				Neutral
Follow for more coffee content! :coffee:	0				Neutral
Great investment for quality coffee at home :moneybag:	1	Price & worth, Coffee Quality	Price & worth, Coffee Quality		Positive
The water tank design could be improved :wrench:	1	Design and Materials		Design and Materials	Negative
Superior to other brands I've tried :star:	1	Brand Awareness, Coffee Quality	Brand Awareness, Coffee Quality		Positive
Missing some basic features found in competitors :disappointed:	1	User Experience		User Experience	Negative
Sustainable packaging is a nice touch :recycle:	1	Environmental Impact	Environmental Impact		Positive
Been using it daily for a year, no issues :check_mark:	1	Machine Performance, Maintenance and Durability	Machine Performance, Maintenance and Durability		Positive
The interface is so intuitive :sparkles:	1	User Experience	User Experience		Positive
Check out my profile for more reviews :camera:	0				Neutral
Delivery was quick and packaging was excellent :package:	1	Services and Logistics	Services and Logistics		Positive
Makes consistent coffee every time :coffee:	1	Coffee Quality, Machine Performance	Coffee Quality, Machine Performance		Positive
Where can I find cleaning tutorials? :magnifying_glass:	0	Maintenance and Durability		Maintenance and Durability	Neutral
Not as durable as advertised :warning:	1	Design and Materials, Maintenance and Durability		Design and Materials, Maintenance and Durability	Negative
Love the compact size for my small kitchen :house:	1	Design and Materials	Design and Materials		Positive
Software updates have improved functionality :gear:	1	User Experience, Machine Performance	User Experience, Machine Performance		Positive
The price is high but worth every penny :money_with_wings:	1	Price & worth	Price & worth		Positive
Capsule compatibility issues are frustrating :angry:	1	Capsules and Compatibility		Capsules and Compatibility	Negative
Quality control seems inconsistent :warning:	1	Machine Performance		Machine Performance	Negative
Perfect foam for my morning cappuccino :coffee:	1	Coffee Quality	Coffee Quality		Positive
Need help with wifi connection :wifi:	0	User Experience		User Experience	Negative
Amazing photos! What lens do you use? :camera:	0				Neutral
Nice countertop aesthetic :sparkles:	1	Design and Materials	Design and Materials		Positive
The water heating system needs improvement :thermometer:	1	Machine Performance		Machine Performance	Negative
Loving the new eco-friendly capsule options :leaves:	1	Environmental Impact, Capsules and Compatibility	Environmental Impact, Capsules and Compatibility		Positive
Can't get the app to connect properly :mobile_phone:	1	User Experience		User Experience	Negative
Great machine but the maintenance costs add up :money_bag:	1	Maintenance and Durability, Price & worth		Maintenance and Durability, Price & worth	Negative
Best coffee I've had at home :star_struck:	1	Coffee Quality	Coffee Quality		Positive
This versus Nespresso? Thoughts? :thinking_face:	1	Brand Awareness	Brand Awareness		Neutral
Follow my coffee journey :camera_flash:	0				Neutral
The milk frother stopped working after 3 months :angry_face:	1	Machine Performance, Maintenance and Durability		Machine Performance, Maintenance and Durability	Negative
Such a space saver in my kitchen :house:	1	Design and Materials	Design and Materials		Positive
Lavazza really outdid themselves with this model :clapping_hands:	1	Brand Awareness	Brand Awareness		Positive
Settings are too complicated :confused:	1	User Experience		User Experience	Negative
The cleaning indicator is really helpful :check_mark:	1	Maintenance and Durability, User Experience	Maintenance and Durability, User Experience		Positive
My coffee is not hot enough :thermometer:	1	Coffee Quality		Coffee Quality	Negative
Love supporting an Italian brand :flag_italy:	1	Brand Awareness	Brand Awareness		Positive
Anyone else having wifi connectivity issues? :wifi:	1	User Experience		User Experience	Negative
Perfect gift for coffee lovers :gift:	1				Neutral
#coffeeaddict #morningcoffee #coffeetime	0				Neutral
