text	positiveTopicClass	negativeTopicClass
Great coffee machine Easy to use, not too big, up to temperature quickly and the coffee is great tasting. The white finish fits into our kitchen well. The only slight downside is the pump on this machine is quite loud when in use, louder than the previous Lavazza pod machine we had. I'd still buy another one though and have recommended this model to some friends.	Coffee Quality, User Experience, Design and Materials	Machine Performance
Missing parts and scuffed all over Arrived in a reseller box, no complimentary coffee pods, no drip tray, scuffs all over top and sides like it was a display model. Sent photos and no responses	NONE	Services and Logistics, Design and Materials, Machine Performance
Best coffee maker EVER!!!! 10/10 What a great cup of coffee from this little Lavazza beauty, it doesn't get better than this! It's just so good! Can you tell I'm impressed! Excellent Espresso! Cute and compact Guilt free compostable eco pods! Living Lavazza Loca	Coffee Quality, User Experience, Design and Materials, Environmental Impact	NONE
Tiny but excellent This coffee machine is easy to use, makes great coffee (hotter and stronger than my old Lavazza machine). I'm really happy with this purchase.	Coffee Quality, User Experience, Machine Performance	NONE
Great tasting coffee, great price! Ordered this after our cabin on a cruise ship had one and loved it! Great little machine, add plenty of hot water and milk for a longer drink. Eco pods are a plus. Fantastic tasting coffee. 5 stars!	Coffee Quality, Price & worth, User Experience, Environmental Impact	NONE
Excellent A+++ Great product	NONE	NONE
Makes good espresso coffee. I wish now I had bought a larger model. Typically slow for these machines.	Coffee Quality	Machine Performance
Great value, tasty Italian coffee capsule machine Recommended by Which and thoroughly deserves the award. Terrific tasting Italian espresso coffee. Very small, compact, well made machine, which is very easy to use. No milk frother, which suits me as I prefer black coffee. Just a pity the pods are not yet compostable or recyclable. A little noisy too which means 4 stars.	Coffee Quality, Design and Materials, User Experience, Price & worth	Environmental Impact, Machine Performance
Received faulty machine, Lavazza not responding I received a faulty machine. After sending detailed email to the seller (with the videos clearly showing that the product does not work) and kindly asking for contact on the seller's Facebook profile, I still have not heard from Lavazza. I do not recommend it at all. I understand that faulty products do happen occasionally. However, complete lack of response from Lavazza shows very little care for the customers.	NONE	Services and Logistics, Machine Performance
A simple but noisy machine This is a very simple machine, one button and one draw. It works pretty well, the coffee is just a tiny bit cold but not enough to worry if it is drunk straight away. The cartridges will probably have to come from the Internet. The downside is that the machine is noisy. I've stood mine of a plastic mat that helps a bit but this is not a machine to use at six in the morning when everyone else is asleep.	User Experience, Machine Performance	Machine Performance, Coffee Quality
Quick and easy, great coffee! Great coffee, nice countertop profile. No need for a larger machine, you can do a lungo if you prefer. Great price too! It helps to prewarm your cup with hot water, but that goes for any coffee maker.	Coffee Quality, Design and Materials, User Experience, Price & worth	NONE
Great Coffee Machine It is a great coffee machine, I'm not quite sure why all the negative reviews. Especially for the price you pay and when you combine it with the frother, it is the perfect combination. Swapped my DeLonghi for this as it was dripping constantly after making a coffee and could not be happier! I just wish they would be more options in terms of capsules like the Nespresso has.	Coffee Quality, Price & worth, Machine Performance	Capsules and Compatibility
Easy to use. My son uses it every day.	User Experience	NONE
Great little thing! It makes a loud noise for the size of it, but it’s the coffee it produces that counts. Quick and easy to use.	Coffee Quality, User Experience	Machine Performance
Ideal for one person Just what I wanted	User Experience	NONE
It makes a great espresso, easily and cheaply. On special offer with 9 free taster capsules, what's not to like? It makes espressos or longos, lavazza capsules are the best. Can't go wrong with the rosso though i am trying them all, slowly. A little noisy but on a solid surface it's fine. tightens my mornings at work	Coffee Quality, User Experience, Price & worth, Capsules and Compatibility	Machine Performance
Good coffee machine Easy and quick to use makes great coffees	Coffee Quality, User Experience	NONE
Easy to use Great tasting coffee	Coffee Quality, User Experience	NONE
Value for money Value for money. Quality same as lavazza but cheaper	Price & worth, Brand Awareness	NONE
Does the job A little bit more noisier than my last machine but adequate for brewing coffee.	Machine Performance	Machine Performance
Great coffee machine for the price Easy to use and good value for money.	Coffee Quality, User Experience, Price & worth	NONE
Easy to use, neat, compact design Great value for money. Love it!!!	User Experience, Design and Materials, Price & worth	NONE
OK basic coffee machine Quick and easy tu use easy to clean	User Experience, Maintenance and Durability	NONE
Great product simple controls Great product simple controls. Has single pod tray so loads single pod. You control the volume of water had has no cut off automatically. No issues with that for me cause can vary the water to my taste. Sufficient water reservoir for several cups. Great range of pods available. Very small footprint if you have limited space.	User Experience, Design and Materials, Capsules and Compatibility	NONE
Great coffee machine Sturdy little coffee machine, great choice of coffee and easy to use. I drink expresso, so this suits me down to the ground. I have had this machine for nearly 5 months now and it doesn’t disappoint.	Coffee Quality, User Experience, Maintenance and Durability, Capsules and Compatibility	NONE
Not as good quality as our last one. Stopped working after just 4 months, waiting for a reply from seller on a refund or replacement. Very disappointing	NONE	Machine Performance, Maintenance and Durability, Services and Logistics
Great Office Coffee Machine Really great for making espresso and very clean to operate. Puts out very little waste water, so great for an office machine.	Coffee Quality, User Experience, Maintenance and Durability	NONE
Great taste Simple to use and great tasting coffee. Like the bigger water tank.	Coffee Quality, User Experience	NONE
Not happy Bought as a Christmas present for my husband. Only used once a day. Blew up yestersay after just less than 6 months. Not happy	NONE	Machine Performance, Maintenance and Durability
Tiny coffee machine for my tiny house It was a while I wanted to try a capsule machine and with this I wasn't disappointed. It takes so little space, it's ready in seconds and does a great job. The quality of coffee varies depending on the brand you use, but after 3 months I would say it's a worthy buy for a first timer.	Coffee Quality, Design and Materials, User Experience	NONE
LOVE IT Small, clean, huge taste, looks like a toy. I had a Dolce Gusto before but the taste of the coffee was not strong at all so I decided to change to Lavazza. I made the best decision !!! Different flavours, different intensity and different style. Now I love to drink coffee again. :red_heart:	Coffee Quality, Design and Materials, User Experience, Brand Awareness	NONE
Grazie! Love it Love it amazing price easy and tasty espresso coffee and lattes	Coffee Quality, User Experience, Price & worth	NONE
Great small coffee maker. Great small Lavazza coffee machine.	Coffee Quality, Design and Materials	NONE
Great Coffee! Easy to use and makes great coffee. Is a little noisy but no more than when a kettle is boiling!	Coffee Quality, User Experience	Machine Performance
Small and good Perfect for my kitchen. Loving the coffee.	Coffee Quality, Design and Materials	NONE
Great little machine and great selection of coffee blends to choose from I just love my Tiny'. He may be tiny but he sure 'pulls a punch! This machine delivers an excellent cup of coffee every time and very speedily at that. It's easy to operate and keep clean. And thank you very much for the enclosed samples of your coffee pods delivered with the machine (ranging from strong to milder). I hadn't expected that and it gave me the chance to taste and select those I felt would suit me best before going ahead and buying a box full. I am loving your 'Dolce' coffee pods at the moment and have gone through quite a few boxes of them already I must admit! If I hadn't had to self-isolate I would not have bought a coffee machine and discovered just how delicious your coffee was! Thanks very much m.s.	Coffee Quality, User Experience, Capsules and Compatibility	NONE
Great Perfect.	NONE	NONE
Great value small machine Birthday gift for my mum. Easy to use. Very compact and looks nice.	User Experience, Design and Materials, Price & worth	NONE
Great coffee, but non recyclable pods Great coffee with the lavazza pods, but they cannot be recycled. A reusable pod has to be filled with ground coffee is better for the world, but the resulting coffee is nowhere as good taste.	Coffee Quality	Environmental Impact, Capsules and Compatibility
Great coffee Much better than our previous Nesspresso Coffee hot and full of flavour Thanks	Coffee Quality	Brand Awareness
Nice simple machine, no used cartridge container which prevents smelliness Great product, very good value. I like the way it takes only one pod at a time, other machines pop the pod into a storage area underneath which can smell like fart if not constantly washed (and some are difficult to wash properly), this seems more hygienic. The only slight issue with this one is the vibration.	User Experience, Price & worth, Maintenance and Durability	Machine Performance
Value for money Small and easy to use and cffe flavour is amazing	Coffee Quality, User Experience, Price & worth	NONE
It’s very small Very good all you can aspect for small price it’s simple but efficient	Design and Materials, Price & worth	NONE
Compact and fits everywhere Great compact machine. Easy to operate and delicious aromatic coffee. Not too noisy and very fast heating the water.	Coffee Quality, User Experience, Design and Materials, Machine Performance	NONE
Coffee Good enough for reduced price, not worth the full price. Very noisy. Plus you can't fit a mug under it without removing the drip tray. I use it for work so not too bothered, but wouldn't be happy with it at home.	Coffee Quality, Price & worth	Machine Performance, User Experience, Design and Materials
Small excellent machine Making coffee is a delight with this little machine. The flavour obviously depends on the coffee blend. But I would certainly recommend this machine.	Coffee Quality, User Experience	NONE
Good Small compact perfect	Design and Materials	NONE
Noisy espresso machine I have been a Lavazza customer since I moved out for my University degree and I'd say I wouldn't have survived without my espresso. This is the second Lavazza Espresso machine I bought (I had a Lavazza Minú before this) and I always found them very easy to use, cheap and a perfect espresso-maker. This new Lavazza Tiny is a very strong machine (12 bar pressur pump) which will give you a dense, creamy espresso always at the right temperature. For best results, however, I recommend to warm your cup with boiling water. Secondly, it is very small, easy to use (only 1 button to press) and compact coffee machine that you can fit everywhere in your kitchen and it is also a very nice piece of furniture. It will come with a voucher to buy some original Lavazza coffee pods for free, but I recommend to use Borbone Gold for best results (cheaper and tastier than original one). Overall it does the job making small or long coffees but it has two downsides, in my opinion : 1) The water tank is a bit small (0.75L ) and should be refilled constantly 2) The noise!! This is probably the worst aspect of this machine because it is quite noisy and if you are an early-morning person like me it could be a problem.	Coffee Quality, User Experience, Brand Awareness, Design and Materials, Price & worth, Capsules and Compatibility	Machine Performance
It's Not White. Bought this to compliment my white kettle and toaster but on unpacking it I found that it was not pure white. I would describe the colour as 'off white' or cream. A pity as it's a nice small appliance and fitted my space perfectly. Obviously I can't speak to its operation as i never used it !	Design and Materials	NONE
